id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
2728,2013,1,4,604.0,610,-6.0,805.0,818,-13.0,EV,4941,N713EV,EWR,MSP,154.0,1008,6,10,2013-01-04 06:00:00,ExpressJet Airlines Inc.
2743,2013,1,4,615.0,615,0.0,851.0,855,-4.0,9E,3856,N232PQ,JFK,ATL,118.0,760,6,15,2013-01-04 06:00:00,Endeavor Air Inc.
2897,2013,1,4,841.0,845,-4.0,1153.0,1205,-12.0,B6,553,N558JB,EWR,RSW,168.0,1068,8,45,2013-01-04 08:00:00,JetBlue Airways
2964,2013,1,4,952.0,959,-7.0,1114.0,1129,-15.0,MQ,4670,N546MQ,LGA,BNA,120.0,764,9,59,2013-01-04 09:00:00,Envoy Air
3676,2013,1,5,657.0,659,-2.0,934.0,927,7.0,EV,4583,N12136,EWR,MSY,193.0,1167,6,59,2013-01-05 06:00:00,ExpressJet Airlines Inc.
4651,2013,1,6,1244.0,1250,-6.0,1537.0,1550,-13.0,DL,1685,N350NA,LGA,MCO,151.0,950,12,50,2013-01-06 12:00:00,Delta Air Lines Inc.
5095,2013,1,6,2019.0,2025,-6.0,2324.0,2341,-17.0,B6,1069,N183JB,JFK,AUS,225.0,1521,20,25,2013-01-06 20:00:00,JetBlue Airways
5174,2013,1,7,554.0,600,-6.0,708.0,715,-7.0,EV,5716,N826AS,JFK,IAD,45.0,228,6,0,2013-01-07 06:00:00,ExpressJet Airlines Inc.
5384,2013,1,7,858.0,850,8.0,1105.0,1113,-8.0,EV,4125,N13118,EWR,XNA,163.0,1131,8,50,2013-01-07 08:00:00,ExpressJet Airlines Inc.
5481,2013,1,7,1100.0,1050,10.0,1226.0,1227,-1.0,EV,4662,N12921,EWR,RDU,68.0,416,10,50,2013-01-07 10:00:00,ExpressJet Airlines Inc.
5497,2013,1,7,1113.0,1115,-2.0,1332.0,1310,22.0,MQ,4485,N713MQ,LGA,CMH,77.0,479,11,15,2013-01-07 11:00:00,Envoy Air
5517,2013,1,7,1132.0,1130,2.0,1423.0,1450,-27.0,VX,409,N845VA,JFK,LAX,319.0,2475,11,30,2013-01-07 11:00:00,Virgin America
5886,2013,1,7,1755.0,1800,-5.0,2057.0,2114,-17.0,B6,989,N556JB,JFK,FLL,158.0,1069,18,0,2013-01-07 18:00:00,JetBlue Airways
5976,2013,1,7,1923.0,1925,-2.0,2155.0,2243,-48.0,DL,1729,N900PC,JFK,LAS,309.0,2248,19,25,2013-01-07 19:00:00,Delta Air Lines Inc.
6080,2013,1,7,2156.0,2135,21.0,33.0,24,9.0,B6,43,N520JB,JFK,MCO,139.0,944,21,35,2013-01-07 21:00:00,JetBlue Airways
6373,2013,1,8,1006.0,950,16.0,1110.0,1104,6.0,B6,600,N317JB,JFK,PWM,47.0,273,9,50,2013-01-08 09:00:00,JetBlue Airways
6490,2013,1,8,1250.0,1259,-9.0,1533.0,1556,-23.0,B6,991,N249JB,JFK,PBI,147.0,1028,12,59,2013-01-08 12:00:00,JetBlue Airways
7223,2013,1,9,859.0,900,-1.0,1202.0,1220,-18.0,AA,647,N5CRAA,JFK,MIA,156.0,1089,9,0,2013-01-09 09:00:00,American Airlines Inc.
7476,2013,1,9,1439.0,1444,-5.0,1724.0,1745,-21.0,B6,141,N571JB,JFK,PBI,146.0,1028,14,44,2013-01-09 14:00:00,JetBlue Airways
7663,2013,1,9,1719.0,1720,-1.0,1920.0,1915,5.0,AA,1351,N3DAAA,JFK,ORD,139.0,740,17,20,2013-01-09 17:00:00,American Airlines Inc.
7687,2013,1,9,1744.0,1730,14.0,2037.0,2023,14.0,UA,1637,N14242,EWR,TPA,147.0,997,17,30,2013-01-09 17:00:00,United Air Lines Inc.
7705,2013,1,9,1758.0,1805,-7.0,1952.0,1955,-3.0,MQ,4626,N542MQ,LGA,CMH,88.0,479,18,5,2013-01-09 18:00:00,Envoy Air
7755,2013,1,9,1851.0,1856,-5.0,2214.0,2204,10.0,UA,891,N475UA,LGA,IAH,242.0,1416,18,56,2013-01-09 18:00:00,United Air Lines Inc.
7853,2013,1,9,2048.0,2055,-7.0,2234.0,2250,-16.0,MQ,4573,N723MQ,LGA,DTW,92.0,502,20,55,2013-01-09 20:00:00,Envoy Air
7951,2013,1,10,621.0,625,-4.0,950.0,934,16.0,UA,1663,N87527,LGA,IAH,242.0,1416,6,25,2013-01-10 06:00:00,United Air Lines Inc.
8206,2013,1,10,1037.0,1039,-2.0,1306.0,1330,-24.0,B6,31,N613JB,JFK,MCO,129.0,944,10,39,2013-01-10 10:00:00,JetBlue Airways
8377,2013,1,10,1416.0,1420,-4.0,1633.0,1620,13.0,MQ,4588,N500MQ,LGA,MSP,168.0,1020,14,20,2013-01-10 14:00:00,Envoy Air
8553,2013,1,10,1656.0,1700,-4.0,1925.0,1935,-10.0,DL,2042,N307DQ,EWR,ATL,116.0,746,17,0,2013-01-10 17:00:00,Delta Air Lines Inc.
8605,2013,1,10,1742.0,1745,-3.0,2035.0,2055,-20.0,AA,785,N3ERAA,LGA,DFW,200.0,1389,17,45,2013-01-10 17:00:00,American Airlines Inc.
8651,2013,1,10,1824.0,1830,-6.0,1957.0,2015,-18.0,MQ,4674,N532MQ,LGA,CLE,71.0,419,18,30,2013-01-10 18:00:00,Envoy Air
8833,2013,1,11,19.0,2359,20.0,439.0,437,2.0,B6,727,N705JB,JFK,BQN,180.0,1576,23,59,2013-01-11 23:00:00,JetBlue Airways
9105,2013,1,11,949.0,1000,-11.0,1054.0,1121,-27.0,US,2169,N768US,LGA,DCA,47.0,214,10,0,2013-01-11 10:00:00,US Airways Inc.
9149,2013,1,11,1042.0,1050,-8.0,1333.0,1405,-32.0,B6,373,N659JB,LGA,FLL,152.0,1076,10,50,2013-01-11 10:00:00,JetBlue Airways
9249,2013,1,11,1255.0,1259,-4.0,1406.0,1420,-14.0,EV,4158,N13538,EWR,RIC,55.0,277,12,59,2013-01-11 12:00:00,ExpressJet Airlines Inc.
9926,2013,1,12,849.0,855,-6.0,1048.0,1102,-14.0,9E,3353,N918XJ,JFK,DTW,87.0,509,8,55,2013-01-12 08:00:00,Endeavor Air Inc.
11486,2013,1,14,849.0,855,-6.0,1226.0,1217,9.0,B6,1061,N283JB,JFK,AUS,245.0,1521,8,55,2013-01-14 08:00:00,JetBlue Airways
11514,2013,1,14,905.0,855,10.0,1129.0,1104,25.0,9E,3353,N932XJ,JFK,DTW,96.0,509,8,55,2013-01-14 08:00:00,Endeavor Air Inc.
11601,2013,1,14,1057.0,1052,5.0,1354.0,1414,-20.0,UA,343,N444UA,EWR,RSW,163.0,1068,10,52,2013-01-14 10:00:00,United Air Lines Inc.
11677,2013,1,14,1241.0,1245,-4.0,1616.0,1550,26.0,AA,745,N3ANAA,LGA,DFW,238.0,1389,12,45,2013-01-14 12:00:00,American Airlines Inc.
11743,2013,1,14,1355.0,1400,-5.0,1630.0,1636,-6.0,DL,2247,N674DL,LGA,ATL,123.0,762,14,0,2013-01-14 14:00:00,Delta Air Lines Inc.
11792,2013,1,14,1456.0,1500,-4.0,1806.0,1837,-31.0,DL,963,N712TW,JFK,LAX,342.0,2475,15,0,2013-01-14 15:00:00,Delta Air Lines Inc.
12212,2013,1,15,535.0,540,-5.0,1014.0,1017,-3.0,B6,725,N603JB,JFK,BQN,187.0,1576,5,40,2013-01-15 05:00:00,JetBlue Airways
12452,2013,1,15,924.0,915,9.0,1222.0,1225,-3.0,B6,25,N579JB,JFK,FLL,161.0,1069,9,15,2013-01-15 09:00:00,JetBlue Airways
13615,2013,1,16,1547.0,1529,18.0,1854.0,1837,17.0,UA,1624,N78285,EWR,FLL,168.0,1065,15,29,2013-01-16 15:00:00,United Air Lines Inc.
14058,2013,1,17,634.0,635,-1.0,947.0,940,7.0,AA,711,N3BVAA,LGA,DFW,216.0,1389,6,35,2013-01-17 06:00:00,American Airlines Inc.
14275,2013,1,17,953.0,1000,-7.0,1113.0,1121,-8.0,US,2169,N756US,LGA,DCA,55.0,214,10,0,2013-01-17 10:00:00,US Airways Inc.
14347,2013,1,17,1129.0,1114,15.0,1403.0,1345,18.0,UA,1403,N87507,LGA,DEN,253.0,1620,11,14,2013-01-17 11:00:00,United Air Lines Inc.
14956,2013,1,18,605.0,600,5.0,718.0,724,-6.0,EV,6055,N13969,LGA,IAD,50.0,229,6,0,2013-01-18 06:00:00,ExpressJet Airlines Inc.
15205,2013,1,18,956.0,1000,-4.0,1222.0,1209,13.0,US,1277,N756US,LGA,CLT,95.0,544,10,0,2013-01-18 10:00:00,US Airways Inc.
15275,2013,1,18,1136.0,1140,-4.0,1450.0,1450,0.0,DL,930,N368NB,LGA,FLL,153.0,1076,11,40,2013-01-18 11:00:00,Delta Air Lines Inc.
15341,2013,1,18,1259.0,1301,-2.0,1431.0,1404,27.0,EV,4129,N12996,EWR,DCA,54.0,199,13,1,2013-01-18 13:00:00,ExpressJet Airlines Inc.
15368,2013,1,18,1340.0,1345,-5.0,1630.0,1705,-35.0,AA,117,N336AA,JFK,LAX,327.0,2475,13,45,2013-01-18 13:00:00,American Airlines Inc.
16640,2013,1,20,822.0,830,-8.0,957.0,1013,-16.0,EV,3815,N12921,EWR,GSO,75.0,445,8,30,2013-01-20 08:00:00,ExpressJet Airlines Inc.
16818,2013,1,20,1222.0,1232,-10.0,1416.0,1429,-13.0,EV,4135,N11155,EWR,CLT,89.0,529,12,32,2013-01-20 12:00:00,ExpressJet Airlines Inc.
16899,2013,1,20,1427.0,1430,-3.0,1731.0,1735,-4.0,AA,883,N4YBAA,EWR,DFW,217.0,1372,14,30,2013-01-20 14:00:00,American Airlines Inc.
16923,2013,1,20,1449.0,1450,-1.0,1805.0,1755,10.0,AA,1813,N5FAAA,JFK,MCO,150.0,944,14,50,2013-01-20 14:00:00,American Airlines Inc.
17014,2013,1,20,1608.0,1615,-7.0,1750.0,1815,-25.0,9E,3387,N905XJ,JFK,RDU,75.0,427,16,15,2013-01-20 16:00:00,Endeavor Air Inc.
17353,2013,1,21,620.0,630,-10.0,856.0,859,-3.0,DL,2006,N321NB,LGA,MSY,191.0,1183,6,30,2013-01-21 06:00:00,Delta Air Lines Inc.
17408,2013,1,21,701.0,710,-9.0,849.0,850,-1.0,MQ,3737,N503MQ,EWR,ORD,129.0,719,7,10,2013-01-21 07:00:00,Envoy Air
17453,2013,1,21,755.0,800,-5.0,1051.0,1124,-33.0,DL,2143,N341NW,JFK,MIA,157.0,1089,8,0,2013-01-21 08:00:00,Delta Air Lines Inc.
17462,2013,1,21,806.0,807,-1.0,1008.0,1010,-2.0,B6,219,N294JB,JFK,CLT,94.0,541,8,7,2013-01-21 08:00:00,JetBlue Airways
17494,2013,1,21,827.0,830,-3.0,1310.0,1335,-25.0,DL,301,N674DL,JFK,SJU,191.0,1598,8,30,2013-01-21 08:00:00,Delta Air Lines Inc.
18189,2013,1,21,2127.0,2130,-3.0,17.0,2,15.0,B6,97,N537JB,JFK,DEN,241.0,1626,21,30,2013-01-21 21:00:00,JetBlue Airways
18382,2013,1,22,810.0,805,5.0,914.0,915,-1.0,EV,4693,N14972,EWR,MHT,41.0,209,8,5,2013-01-22 08:00:00,ExpressJet Airlines Inc.
18383,2013,1,22,810.0,815,-5.0,1014.0,1015,-1.0,US,675,N650AW,EWR,CLT,101.0,529,8,15,2013-01-22 08:00:00,US Airways Inc.
18412,2013,1,22,831.0,840,-9.0,1039.0,1030,9.0,MQ,4521,N739MQ,LGA,RDU,83.0,431,8,40,2013-01-22 08:00:00,Envoy Air
18568,2013,1,22,1150.0,1155,-5.0,1247.0,1304,-17.0,9E,3483,N922XJ,JFK,BOS,34.0,187,11,55,2013-01-22 11:00:00,Endeavor Air Inc.
18842,2013,1,22,1656.0,1700,-4.0,2020.0,2006,14.0,B6,509,N641JB,EWR,FLL,178.0,1065,17,0,2013-01-22 17:00:00,JetBlue Airways
18844,2013,1,22,1657.0,1700,-3.0,2016.0,2036,-20.0,DL,127,N711ZX,JFK,LAX,341.0,2475,17,0,2013-01-22 17:00:00,Delta Air Lines Inc.
18985,2013,1,22,1934.0,1930,4.0,2126.0,2151,-25.0,9E,3798,N8672A,JFK,CLT,89.0,541,19,30,2013-01-22 19:00:00,Endeavor Air Inc.
19370,2013,1,23,945.0,955,-10.0,1219.0,1220,-1.0,MQ,4654,N539MQ,LGA,ATL,120.0,762,9,55,2013-01-23 09:00:00,Envoy Air
21336,2013,1,25,1252.0,1250,2.0,1529.0,1550,-21.0,DL,1685,N364NW,LGA,MCO,140.0,950,12,50,2013-01-25 12:00:00,Delta Air Lines Inc.
21359,2013,1,25,1322.0,1330,-8.0,1549.0,1605,-16.0,DL,2043,N3763D,JFK,ATL,124.0,760,13,30,2013-01-25 13:00:00,Delta Air Lines Inc.
21779,2013,1,25,2145.0,2130,15.0,57.0,25,32.0,B6,383,N613JB,LGA,FLL,151.0,1076,21,30,2013-01-25 21:00:00,JetBlue Airways
22547,2013,1,27,554.0,600,-6.0,851.0,910,-19.0,AA,707,N3EUAA,LGA,DFW,208.0,1389,6,0,2013-01-27 06:00:00,American Airlines Inc.
22750,2013,1,27,1017.0,1021,-4.0,1310.0,1342,-32.0,DL,1903,N970DL,LGA,SRQ,147.0,1047,10,21,2013-01-27 10:00:00,Delta Air Lines Inc.
23335,2013,1,27,2158.0,2154,4.0,38.0,50,-12.0,B6,515,N586JB,EWR,FLL,141.0,1065,21,54,2013-01-27 21:00:00,JetBlue Airways
23357,2013,1,27,1341.8229492227138,1840,-2.0,1520.1147660818713,2020,-4.0,MQ,3730,N505MQ,EWR,ORD,135.0,719,18,40,2013-01-27 18:00:00,Envoy Air
23702,2013,1,28,1138.0,1144,-6.0,1301.0,1255,6.0,EV,4264,N13908,EWR,BTV,49.0,266,11,44,2013-01-28 11:00:00,ExpressJet Airlines Inc.
23726,2013,1,28,1216.0,1220,-4.0,1345.0,1350,-5.0,MQ,3697,N513MQ,EWR,ORD,121.0,719,12,20,2013-01-28 12:00:00,Envoy Air
24290,2013,1,29,534.0,540,-6.0,816.0,850,-34.0,AA,1141,N5EKAA,JFK,MIA,140.0,1089,5,40,2013-01-29 05:00:00,American Airlines Inc.
9868,2013,1,12,757.0,757,0.0,903.0,910,-7.0,B6,44,N590JB,JFK,SYR,44.0,209,7,57,2013-01-12 07:00:00,JetBlue Airways
16369,2013,1,19,1701.0,1702,-1.0,1759.0,1826,-27.0,UA,1131,N24729,EWR,BOS,41.0,200,17,2,2013-01-19 17:00:00,United Air Lines Inc.
793,2013,1,1,2101.0,2050,11.0,2156.0,2202,-6.0,B6,1020,N587JB,JFK,BOS,34.0,187,20,50,2013-01-01 20:00:00,JetBlue Airways
867,2013,1,2,600.0,605,-5.0,748.0,805,-17.0,MQ,4401,N713MQ,LGA,DTW,82.0,502,6,5,2013-01-02 06:00:00,Envoy Air
1494,2013,1,2,1708.0,1700,8.0,2035.0,2028,7.0,UA,1259,N24633,LGA,IAH,238.0,1416,17,0,2013-01-02 17:00:00,United Air Lines Inc.
1544,2013,1,2,1750.0,1755,-5.0,1934.0,1925,9.0,WN,1186,N8316H,LGA,MDW,121.0,725,17,55,2013-01-02 17:00:00,Southwest Airlines Co.
1676,2013,1,2,1958.0,2000,-2.0,2303.0,2325,-22.0,VX,415,N622VA,JFK,LAX,335.0,2475,20,0,2013-01-02 20:00:00,Virgin America
1778,2013,1,2,1341.8229492227138,1620,-2.0,1520.1147660818713,1746,-4.0,EV,4406,N13949,EWR,PIT,135.0,319,16,20,2013-01-02 16:00:00,ExpressJet Airlines Inc.
1944,2013,1,3,815.0,817,-2.0,1048.0,1058,-10.0,DL,914,N356NW,LGA,DEN,222.0,1620,8,17,2013-01-03 08:00:00,Delta Air Lines Inc.
2011,2013,1,3,909.0,908,1.0,1421.0,1409,12.0,UA,1519,N39726,EWR,STT,212.0,1634,9,8,2013-01-03 09:00:00,United Air Lines Inc.
2014,2013,1,3,911.0,900,11.0,1255.0,1216,39.0,UA,76,N73276,LGA,IAH,244.0,1416,9,0,2013-01-03 09:00:00,United Air Lines Inc.
2078,2013,1,3,1028.0,1016,12.0,1229.0,1230,-1.0,DL,2319,N922DL,LGA,MSP,148.0,1020,10,16,2013-01-03 10:00:00,Delta Air Lines Inc.
2314,2013,1,3,1530.0,1530,0.0,1657.0,1650,7.0,WN,680,N916WN,EWR,MDW,114.0,711,15,30,2013-01-03 15:00:00,Southwest Airlines Co.
2559,2013,1,3,1926.0,1930,-4.0,2148.0,2213,-25.0,DL,1715,N358NB,LGA,MSY,186.0,1183,19,30,2013-01-03 19:00:00,Delta Air Lines Inc.
2613,2013,1,3,2028.0,2020,8.0,2303.0,2245,18.0,MQ,4662,N524MQ,LGA,ATL,119.0,762,20,20,2013-01-03 20:00:00,Envoy Air
2939,2013,1,4,920.0,920,0.0,1110.0,1125,-15.0,MQ,4582,N516MQ,LGA,CLT,89.0,544,9,20,2013-01-04 09:00:00,Envoy Air
3433,2013,1,4,1832.0,1815,17.0,1940.0,1930,10.0,WN,2582,N214WN,EWR,BWI,34.0,169,18,15,2013-01-04 18:00:00,Southwest Airlines Co.
3481,2013,1,4,1922.0,1930,-8.0,2112.0,2151,-39.0,9E,3798,N8611A,JFK,CLT,87.0,541,19,30,2013-01-04 19:00:00,Endeavor Air Inc.
3681,2013,1,5,701.0,651,10.0,913.0,915,-2.0,UA,1255,N38454,EWR,DEN,227.0,1605,6,51,2013-01-05 06:00:00,United Air Lines Inc.
3722,2013,1,5,755.0,800,-5.0,1106.0,1106,0.0,B6,3,N644JB,JFK,FLL,162.0,1069,8,0,2013-01-05 08:00:00,JetBlue Airways
3909,2013,1,5,1206.0,1205,1.0,1517.0,1520,-3.0,AA,743,N426AA,LGA,DFW,226.0,1389,12,5,2013-01-05 12:00:00,American Airlines Inc.
3961,2013,1,5,1328.0,1326,2.0,1634.0,1629,5.0,UA,1124,N34222,EWR,MIA,162.0,1085,13,26,2013-01-05 13:00:00,United Air Lines Inc.
4706,2013,1,6,1354.0,1355,-1.0,1705.0,1653,12.0,UA,1604,N87527,EWR,IAH,218.0,1400,13,55,2013-01-06 13:00:00,United Air Lines Inc.
4720,2013,1,6,1427.0,1429,-2.0,1727.0,1722,5.0,B6,1161,N657JB,LGA,PBI,162.0,1035,14,29,2013-01-06 14:00:00,JetBlue Airways
4731,2013,1,6,1437.0,1435,2.0,1552.0,1559,-7.0,EV,5968,N13964,LGA,IAD,50.0,229,14,35,2013-01-06 14:00:00,ExpressJet Airlines Inc.
5342,2013,1,7,822.0,825,-3.0,954.0,945,9.0,MQ,4418,N856MQ,JFK,DCA,46.0,213,8,25,2013-01-07 08:00:00,Envoy Air
5411,2013,1,7,921.0,920,1.0,1200.0,1233,-33.0,UA,1223,N78866,EWR,LAX,307.0,2454,9,20,2013-01-07 09:00:00,United Air Lines Inc.
5615,2013,1,7,1344.0,1345,-1.0,1648.0,1705,-17.0,AA,117,N332AA,JFK,LAX,337.0,2475,13,45,2013-01-07 13:00:00,American Airlines Inc.
5822,2013,1,7,1658.0,1659,-1.0,2005.0,2046,-41.0,9E,3375,N930XJ,JFK,SAT,227.0,1587,16,59,2013-01-07 16:00:00,Endeavor Air Inc.
6870,2013,1,8,1908.0,1910,-2.0,2240.0,2231,9.0,B6,87,N651JB,JFK,SLC,296.0,1990,19,10,2013-01-08 19:00:00,JetBlue Airways
6909,2013,1,8,1954.0,2000,-6.0,2148.0,2224,-36.0,9E,3439,N934XJ,JFK,CVG,98.0,589,20,0,2013-01-08 20:00:00,Endeavor Air Inc.
7018,2013,1,9,558.0,610,-12.0,814.0,817,-3.0,DL,1919,N337NW,LGA,MSP,164.0,1020,6,10,2013-01-09 06:00:00,Delta Air Lines Inc.
7068,2013,1,9,639.0,639,0.0,1004.0,957,7.0,UA,251,N852UA,EWR,AUS,242.0,1504,6,39,2013-01-09 06:00:00,United Air Lines Inc.
7211,2013,1,9,854.0,900,-6.0,1037.0,1039,-2.0,UA,448,N481UA,LGA,ORD,135.0,733,9,0,2013-01-09 09:00:00,United Air Lines Inc.
7287,2013,1,9,1013.0,1021,-8.0,1323.0,1342,-19.0,DL,1903,N963DL,LGA,SRQ,164.0,1047,10,21,2013-01-09 10:00:00,Delta Air Lines Inc.
7954,2013,1,10,625.0,630,-5.0,753.0,810,-17.0,AA,303,N3EUAA,LGA,ORD,121.0,733,6,30,2013-01-10 06:00:00,American Airlines Inc.
8221,2013,1,10,1056.0,1100,-4.0,1409.0,1425,-16.0,UA,642,N505UA,JFK,SFO,342.0,2586,11,0,2013-01-10 11:00:00,United Air Lines Inc.
8341,2013,1,10,1336.0,1345,-9.0,1455.0,1458,-3.0,B6,602,N337JB,JFK,PWM,56.0,273,13,45,2013-01-10 13:00:00,JetBlue Airways
8515,2013,1,10,1621.0,1630,-9.0,1817.0,1838,-21.0,DL,2231,N373NW,LGA,DTW,87.0,502,16,30,2013-01-10 16:00:00,Delta Air Lines Inc.
8635,2013,1,10,1809.0,1810,-1.0,2041.0,2037,4.0,9E,3542,N913XJ,JFK,MSP,172.0,1029,18,10,2013-01-10 18:00:00,Endeavor Air Inc.
9685,2013,1,11,2033.0,2029,4.0,2140.0,2140,0.0,9E,3609,N819AY,JFK,PHL,39.0,94,20,29,2013-01-11 20:00:00,Endeavor Air Inc.
9699,2013,1,11,2043.0,2045,-2.0,2248.0,2310,-22.0,B6,115,N249JB,JFK,MSY,166.0,1182,20,45,2013-01-11 20:00:00,JetBlue Airways
9717,2013,1,11,2115.0,2125,-10.0,2226.0,2250,-24.0,MQ,4660,N3AEMQ,LGA,BNA,111.0,764,21,25,2013-01-11 21:00:00,Envoy Air
10275,2013,1,12,1656.0,1700,-4.0,2120.0,2204,-44.0,DL,329,N3761R,JFK,SJU,180.0,1598,17,0,2013-01-12 17:00:00,Delta Air Lines Inc.
10412,2013,1,12,2034.0,2030,4.0,2336.0,2350,-14.0,B6,1069,N266JB,JFK,AUS,225.0,1521,20,30,2013-01-12 20:00:00,JetBlue Airways
10640,2013,1,13,928.0,929,-1.0,1426.0,1427,-1.0,B6,215,N516JB,EWR,SJU,207.0,1608,9,29,2013-01-13 09:00:00,JetBlue Airways
10644,2013,1,13,932.0,935,-3.0,1232.0,1231,1.0,B6,41,N665JB,JFK,MCO,129.0,944,9,35,2013-01-13 09:00:00,JetBlue Airways
11439,2013,1,14,814.0,815,-1.0,1005.0,958,7.0,9E,3521,N903XJ,JFK,ORD,136.0,740,8,15,2013-01-14 08:00:00,Endeavor Air Inc.
11480,2013,1,14,839.0,843,-4.0,1113.0,1115,-2.0,EV,4388,N29906,EWR,JAX,127.0,820,8,43,2013-01-14 08:00:00,ExpressJet Airlines Inc.
12039,2013,1,14,1829.0,1830,-1.0,2015.0,2015,0.0,MQ,4674,N521MQ,LGA,CLE,75.0,419,18,30,2013-01-14 18:00:00,Envoy Air
12184,2013,1,14,2128.0,2135,-7.0,29.0,24,5.0,B6,43,N579JB,JFK,MCO,144.0,944,21,35,2013-01-14 21:00:00,JetBlue Airways
12275,2013,1,15,641.0,645,-4.0,746.0,757,-11.0,EV,4241,N14959,EWR,DCA,48.0,199,6,45,2013-01-15 06:00:00,ExpressJet Airlines Inc.
12467,2013,1,15,944.0,950,-6.0,1047.0,1104,-17.0,B6,600,N307JB,JFK,PWM,44.0,273,9,50,2013-01-15 09:00:00,JetBlue Airways
12649,2013,1,15,1403.0,1357,6.0,1453.0,1507,-14.0,EV,4434,N13989,EWR,MHT,36.0,209,13,57,2013-01-15 13:00:00,ExpressJet Airlines Inc.
12846,2013,1,15,1705.0,1710,-5.0,1821.0,1820,1.0,EV,4316,N13956,EWR,BWI,43.0,169,17,10,2013-01-15 17:00:00,ExpressJet Airlines Inc.
13272,2013,1,16,841.0,845,-4.0,1358.0,1350,8.0,AA,1357,N328AA,JFK,SJU,208.0,1598,8,45,2013-01-16 08:00:00,American Airlines Inc.
14584,2013,1,17,1600.0,1540,20.0,1903.0,1900,3.0,UA,161,N33103,JFK,LAX,328.0,2475,15,40,2013-01-17 15:00:00,United Air Lines Inc.
14770,2013,1,17,1854.0,1900,-6.0,1950.0,2012,-22.0,US,2140,N959UW,LGA,BOS,37.0,184,19,0,2013-01-17 19:00:00,US Airways Inc.
14779,2013,1,17,1859.0,1900,-1.0,2200.0,2238,-38.0,DL,87,N722TW,JFK,LAX,329.0,2475,19,0,2013-01-17 19:00:00,Delta Air Lines Inc.
15289,2013,1,18,1152.0,1200,-8.0,1251.0,1305,-14.0,US,2126,N958UW,LGA,BOS,33.0,184,12,0,2013-01-18 12:00:00,US Airways Inc.
15332,2013,1,18,1254.0,1300,-6.0,1443.0,1440,3.0,AA,329,N437AA,LGA,ORD,140.0,733,13,0,2013-01-18 13:00:00,American Airlines Inc.
15443,2013,1,18,1502.0,1510,-8.0,1656.0,1650,6.0,WN,323,N768SW,LGA,MKE,122.0,738,15,10,2013-01-18 15:00:00,Southwest Airlines Co.
